,Discovery_Method,Discovery_Year,Solution_type,Planet_Orbital_Period_[day],Planet_Orbital_SemiMajorAxis_[day],Planet_Radius_[Earth_radius],Planet_Mass_[Earth_mass],Planet_Mass_Provenance,Planet_Eccentricity,Planet_Eq_Temperature_[K],Stellar_Effective_Temperature_[K],Stellar_Radius_[Solar_radius],Stellar_Mass_[Solar_mass],Stellar_Metallicity_[dex],Stellar_Metallicity_Radio,Stellar_Surface_Gravity_[log10(cm/s**2)],Number_Stars,Number_Planets,System_Distance_[pc],System_V_Magnitude,System_Ks_Magnitude,System_Gaia_Magnitude
11,Imaging,2004,Published Confirmed,,46.0,,1271.0,Mass,,1150.0,2825.0,0.22,0.19,,,5.03,1,1,64.308,,11.945,17.4076
12,Eclipse Timing Variations,2015,Published Confirmed,416.0,0.92,,603.877,Mass,,,,,0.48,,,,2,1,396.332,12.651,12.955,12.1376
13,Imaging,2009,Published Confirmed,7336.5,,10.31,6657.48,Mass,0.26,2075.0,2300.0,0.12,0.08,,,,1,1,,,11.826,17.3961
14,Imaging,2016,Published Confirmed,,230.0,,3972.875,Mass,,,4045.0,,0.6,,,,1,1,69.5737,12.368,9.148,11.9484
15,Imaging,2015,Published Confirmed,,13.2,,635.66,Mass,,700.0,,,1.75,-0.027,[M/H],,3,1,29.7575,5.21149,4.537,5.15806
16,Radial Velocity,1995,Published Confirmed,4.231,0.052,,146.2018,Mass,0.0,,,,1.04,,,,1,1,15.4614,5.45309,3.911,5.28647
17,Radial Velocity,1996,Published Confirmed,14.6,0.113,,254.25,Mass,0.0,700.0,,,,,,,2,5,12.5855,5.95084,4.015,5.72973
18,Radial Velocity,1996,Published Confirmed,14.65152,0.115227,,263.9785,Mass,0.0034,,,,0.95,,,,2,5,12.5855,5.95084,4.015,5.72973
19,Radial Velocity,1996,Published Confirmed,14.465314,0.11339,,266.966,Mass,0.0023,,5250.0,0.96,0.9,0.35,[M/H],4.42,2,5,12.5855,5.95084,4.015,5.72973
20,Radial Velocity,2004,Published Confirmed,44.4175,0.241376,,54.4738,Mass,0.02,,,,0.95,,,,2,5,12.5855,5.95084,4.015,5.72973
21,Radial Velocity,2004,Published Confirmed,44.373,0.23735,,56.6985,Mass,0.072,,5250.0,0.96,0.9,0.35,[M/H],4.42,2,5,12.5855,5.95084,4.015,5.72973
22,Radial Velocity,2002,Published Confirmed,4867.0,5.446,,1226.77,Mass,0.0269,,5250.0,0.96,0.9,0.35,[M/H],4.42,2,5,12.5855,5.95084,4.015,5.72973
23,Radial Velocity,2002,Published Confirmed,4825.0,5.503,,1232.493,Mass,0.019,,,,0.95,,,,2,5,12.5855,5.95084,4.015,5.72973
24,Radial Velocity,2004,Published Confirmed,0.7365478,0.015439,,8.09479,Mass,0.028,,5250.0,0.96,0.9,0.35,[M/H],4.42,2,5,12.5855,5.95084,4.015,5.72973
25,Radial Velocity,2004,Published Confirmed,,0.01544,1.92,8.08,Mass,,,5250.0,0.96,0.9,0.35,[M/H],4.42,2,5,12.5855,5.95084,4.015,5.72973
26,Radial Velocity,2004,Published Confirmed,0.7365515,0.015691,,8.13928,Mass,0.04,,,,0.95,,,,2,5,12.5855,5.95084,4.015,5.72973
27,Radial Velocity,2004,Published Confirmed,0.7365437,0.01544,2.08,7.81,Mass,0.061,1958.0,5234.0,0.94,0.91,0.31,[Fe/H],4.45,2,5,12.5855,5.95084,4.015,5.72973
28,Radial Velocity,2004,Published Confirmed,0.736539,0.01544,1.91,8.08,Mass,,,5250.0,0.96,0.9,0.35,[M/H],4.42,2,5,12.5855,5.95084,4.015,5.72973
29,Radial Velocity,2004,Published Confirmed,0.737,,1.897,7.74,Mass,,,5172.0,0.95,0.87,0.35,[Fe/H],4.43,2,5,12.5855,5.95084,4.015,5.72973
30,Radial Velocity,2004,Published Confirmed,0.7365474,0.01544,1.875,7.99,Mass,0.05,,5172.0,0.94,0.91,0.35,[Fe/H],4.43,2,5,12.5855,5.95084,4.015,5.72973
31,Radial Velocity,2004,Published Confirmed,0.736546,0.01583,2.173,8.37,Mass,0.0,,5250.0,0.96,0.9,0.35,[M/H],4.42,2,5,12.5855,5.95084,4.015,5.72973
32,Radial Velocity,2004,Published Confirmed,0.73654,0.01583,2.0,8.63,Mass,,,,0.94,0.96,,,,2,5,12.5855,5.95084,4.015,5.72973
33,Radial Velocity,2007,Published Confirmed,262.0,0.788,,44.812,Mass,0.305,,,,0.95,,,,2,5,12.5855,5.95084,4.015,5.72973
34,Radial Velocity,2007,Published Confirmed,260.91,0.7733,,47.0051,Mass,0.08,,5250.0,0.96,0.9,0.35,[M/H],4.42,2,5,12.5855,5.95084,4.015,5.72973
35,Radial Velocity,1996,Published Confirmed,116.6884,0.484,,2380.45,Mass,0.4007,,5545.0,,1.11,-0.012,[Fe/H],4.07,1,1,17.9011,4.96808,3.5,4.76178
36,Imaging,2005,Published Confirmed,,260.0,,4290.5,Mass,,,,,,,,,1,1,50.0475,9.13,6.981,8.8378
37,Transit,2020,Published Confirmed,8.463,0.0645,4.07,17.0,Mass,0.0,593.0,3700.0,0.75,0.5,,,,1,2,9.7221,8.81,4.529,7.84038
38,Transit,2020,Published Confirmed,8.46321,,,17.1,Mass,,,3700.0,0.75,0.5,,,4.39,1,2,9.7221,8.81,4.529,7.84038
39,Transit,2021,Published Confirmed,18.859019,0.1101,3.24,13.6,Mass,0.0,454.0,3700.0,0.75,0.5,,,,1,2,9.7221,8.81,4.529,7.84038
40,Transit,2016,Published Confirmed,41.6855,,2.578,22.2481,Mass,0.0,,5766.0,1.08,1.67,-0.15,[Fe/H],4.5,1,1,179.461,10.849,9.368,10.8644
41,Transit,2016,Published Confirmed,41.6855,0.241,2.23,16.3,Mass,0.0,546.0,5766.0,0.93,0.96,-0.15,[Fe/H],4.5,1,1,179.461,10.849,9.368,10.8644
42,Imaging,2021,Published Confirmed,,1662.0,14.684,4767.4261,Mass,,1303.0,4993.0,0.8,1.0,,,4.55,1,1,44.9543,9.374,7.288,9.17439
43,Imaging,2011,Published Confirmed,10037.5,2.6,,3337.1,Mass,,370.0,580.5,,0.02,,,4.72,1,1,,,,
44,Imaging,2021,Published Confirmed,8040000.0,200.0,20.849,2479.06157,Mass,,1800.0,2320.0,0.24,0.01,,,3.85,1,1,,,14.593,
45,Imaging,2006,Published Confirmed,,210.0,,3994.486,Mass,,,,,0.35,,,,1,1,190.374,,10.703,17.2934
46,Radial Velocity,2019,Published Confirmed,8.9891,,,3686.828,Mass,0.25,,,,0.9,,,,1,1,157.998,13.642,7.793,12.1454
47,Imaging,2021,Published Confirmed,402000000.0,7506.0,12.442,2002.31896,Mass,,434.0,3406.0,0.39,0.37,0.0,[Fe/H],4.83,1,1,10.8864,11.298,6.579,10.146
48,Imaging,2007,Published Confirmed,,440.0,24.66,5403.0,Mass,,2600.0,,,,,,,1,1,190.72,12.335,8.661,11.7733
49,Transit,2008,Published Confirmed,1.5089682,0.02752,19.223,390.9309,Mass,0.036,,6298.0,1.23,1.22,0.06,,,1,1,787.909,13.623,12.149,13.457
50,Transit,2008,Published Confirmed,1.50897655,0.0259,15.917,340.0781,Mass,0.071,1834.0,5950.0,,,-0.3,[Fe/H],4.25,1,1,787.909,13.623,12.149,13.457
51,Transit,2008,Published Confirmed,1.5089557,,16.7,327.35,Mass,0.0,1898.0,5950.0,1.11,0.95,-0.3,[M/H],4.25,1,1,787.909,13.623,12.149,13.457
52,Transit,2008,Published Confirmed,1.5089557,0.0261,16.589,359.1479,Mass,0.0,,5950.0,1.14,1.03,,,,1,1,787.909,13.623,12.149,13.457
53,Transit,2008,Published Confirmed,1.5089686,0.02536,17.385,327.3649,Mass,,1915.0,5950.0,1.13,0.95,-0.3,[Fe/H],4.31,1,1,787.909,13.623,12.149,13.457
54,Transit,2010,Published Confirmed,13.2406,0.1055,10.873,867.6759,Mass,0.524,,5075.0,0.79,0.89,0.26,,,1,1,338.386,15.293,11.782,14.6645
55,Transit,2010,Published Confirmed,13.2406,0.106,10.548,883.5674,Mass,,647.0,5075.0,0.74,0.9,0.26,[Fe/H],4.65,1,1,338.386,15.293,11.782,14.6645
56,Transit,2010,Published Confirmed,13.2406,0.1055,10.87,874.0,Mass,0.53,600.0,5075.0,0.79,0.89,0.26,[Fe/H],4.65,1,1,338.386,15.293,11.782,14.6645
57,Transit,2010,Published Confirmed,2.99433,0.044,15.984,743.7222,Mass,,1735.0,6440.0,1.37,1.26,-0.03,[Fe/H],4.26,1,1,655.037,12.897,11.248,12.841
58,Transit,2010,Published Confirmed,2.994325,0.04407,16.029,832.7146,Mass,0.36,,6440.0,1.37,1.27,0.03,,,1,1,655.037,12.897,11.248,12.841
59,Transit,2010,Published Confirmed,2.99433,0.0436,16.03,740.51,Mass,0.0,1657.0,6440.0,1.37,1.27,-0.03,[Fe/H],4.22,1,1,655.037,12.897,11.248,12.841
60,Transit,2010,Published Confirmed,2.994325,0.04351,15.581,791.3967,Mass,0.0,1715.0,,1.33,1.23,,,,1,1,655.037,12.897,11.248,12.841
61,Transit,2010,Published Confirmed,2.828042,0.0394,15.132,281.91521,Mass,,1410.0,5675.0,1.05,1.02,0.16,[Fe/H],4.41,1,1,1126.37,15.588,13.557,15.3453
62,Transit,2010,Published Confirmed,2.828042,0.04013,16.141,290.81445,Mass,0.05,,5675.0,1.12,1.08,0.16,,,1,1,1126.37,15.588,13.557,15.3453
63,Transit,2010,Published Confirmed,2.82805268,0.0392,15.065,277.46559,Mass,,1417.0,,1.05,1.0,,,4.38,1,1,1126.37,15.588,13.557,15.3453
64,Transit,2010,Published Confirmed,2.828042,0.04016,16.14,291.438,Mass,0.07,1442.0,5675.0,1.12,1.08,0.16,[Fe/H],4.38,1,1,1126.37,15.588,13.557,15.3453
65,Transit,2010,Published Confirmed,4.03519,0.05107,9.92,423.03173,Mass,0.067,,5945.0,1.01,1.09,0.01,,,1,1,1148.93,15.005,13.376,14.9147
66,Transit,2010,Published Confirmed,4.03519,0.051,14.034,416.99296,Mass,,1432.0,5945.0,1.27,1.09,0.01,[Fe/H],4.26,1,1,1148.93,15.005,13.376,14.9147
67,Transit,2010,Published Confirmed,4.03519,0.051,9.92,415.704,Mass,0.0,1700.0,5945.0,1.01,1.09,0.01,[Fe/H],4.46,1,1,1148.93,15.005,13.376,14.9147
68,Transit,2010,Published Confirmed,1.51214,0.02687,11.411,2437.7561,Mass,,1936.0,6035.0,1.19,1.12,0.05,[Fe/H],4.34,1,1,1744.6,15.932,13.806,15.8116
69,Transit,2010,Published Confirmed,1.51214,0.02691,12.218,2358.2986,Mass,0.036,,6040.0,1.21,1.13,0.05,,,1,1,1744.6,15.932,13.806,15.8116
70,Transit,2010,Published Confirmed,1.51214,0.027,12.22,2415.4,Mass,0.0,1952.0,6035.0,1.21,1.13,0.05,[Fe/H],4.35,1,1,1744.6,15.932,13.806,15.8116
71,Transit,2011,Published Confirmed,5.35227,0.0618,13.115,168.13207,Mass,0.37,,5650.0,1.19,1.1,0.19,,,1,1,732.409,16.052,12.847,15.6507
72,Transit,2011,Published Confirmed,5.35227,0.0618,13.11,170.032,Mass,0.33,,5650.0,1.19,1.1,0.19,[M/H],4.36,1,1,732.409,16.052,12.847,15.6507
73,Transit,2011,Published Confirmed,3.7681,0.0461,11.43,772.29,Mass,0.0,1626.0,5740.0,1.59,1.04,0.0,[Fe/H],4.4,1,1,1176.12,16.29,12.472,15.4368
74,Transit,2011,Published Confirmed,3.7681,0.0481,11.287,781.8618,Mass,,1610.0,5740.0,1.62,1.04,0.0,[Fe/H],4.04,1,1,1176.12,16.29,12.472,15.4368
75,Transit,2011,Published Confirmed,3.7681,0.0481,11.433,765.9703,Mass,0.081,,5740.0,1.59,1.04,0.0,,,1,1,1176.12,16.29,12.472,15.4368
76,Transit,2011,Published Confirmed,1.9000693,0.0295,14.684,1099.6918,Mass,0.025,,5440.0,1.0,0.95,0.1,,,1,1,764.889,14.868,13.014,14.8009
77,Transit,2011,Published Confirmed,1.9000693,0.0295,14.68,1102.82,Mass,0.08,1550.0,5440.0,1.0,0.95,-0.1,[Fe/H],4.4,1,1,764.889,14.868,13.014,14.8009
78,Transit,2011,Published Confirmed,1.9000693,0.0286,14.022,1039.3041,Mass,,1490.0,5440.0,0.92,0.86,-0.1,[Fe/H],4.44,1,1,764.889,14.868,13.014,14.8009
79,Transit,2011,Published Confirmed,1.90009,0.0288,12.846,1048.839,Mass,,1487.0,,0.88,0.88,,,4.49,1,1,764.889,14.868,13.014,14.8009
80,Transit,2011,Published Confirmed,3.89713,0.0512,13.339,346.4347,Mass,,1630.0,6090.0,1.58,1.18,-0.02,[Fe/H],4.12,1,1,790.663,14.135,11.837,13.7831
81,Transit,2011,Published Confirmed,3.89713,0.05166,14.46,367.09365,Mass,0.056,,6090.0,1.65,1.21,0.02,,,1,1,790.663,14.135,11.837,13.7831
82,Transit,2011,Published Confirmed,3.89713,0.0518,14.46,352.78,Mass,0.047,2000.0,6090.0,1.65,1.21,-0.02,[Fe/H],4.07,1,1,790.663,14.135,11.837,13.7831
83,Transit,2008,Published Confirmed,1.74299673,0.0281,16.432,1048.839,Mass,0.024,,5625.0,0.9,0.97,0.0,,,2,1,213.283,12.516,10.31,12.2489
84,Transit,2008,Published Confirmed,1.7429935,0.02835,16.365,1134.6531,Mass,,1521.0,5598.0,0.9,1.0,0.04,[Fe/H],4.53,2,1,213.283,12.516,10.31,12.2489
85,Transit,2008,Published Confirmed,1.7429935,0.02798,16.432,1102.82,Mass,0.0143,,5625.0,0.91,0.96,,,,2,1,213.283,12.516,10.31,12.2489
86,Transit,2008,Published Confirmed,1.7429975,,15.85,1052.0173,Mass,0.0,1535.0,5625.0,0.9,0.97,0.0,[Fe/H],4.3,2,1,213.283,12.516,10.31,12.2489
87,Transit,2008,Published Confirmed,1.7429964,0.0281,16.421,1051.973,Mass,0.0,,,,,,,,2,1,213.283,12.516,10.31,12.2489
88,Transit,2008,Published Confirmed,1.7429935,0.02854,16.477,1150.5446,Mass,,1548.0,5696.0,0.91,1.02,0.03,[Fe/H],4.53,2,1,213.283,12.516,10.31,12.2489
89,Transit,2011,Published Confirmed,9.24285,0.09,,1366.669,Mass,0.59,,,,1.14,,,,1,2,844.061,14.63,12.513,14.4686
90,Transit,2011,Published Confirmed,9.24285,0.0892,13.002,1608.2198,Mass,,1100.0,5880.0,1.34,1.11,0.14,[Fe/H],4.23,1,2,844.061,14.63,12.513,14.4686
91,Transit,2011,Published Confirmed,9.24318,0.0891,11.209,1315.8162,Mass,,1024.0,,1.16,1.1,,,4.35,1,2,844.061,14.63,12.513,14.4686
92,Transit,2011,Published Confirmed,9.24285,0.0902,9.42,1347.54,Mass,0.562,1002.0,5880.0,1.02,1.14,0.14,[Fe/H],4.2,1,2,844.061,14.63,12.513,14.4686
93,Transit,2011,Published Confirmed,9.24285,0.0901,9.416,1344.4209,Mass,0.575,,5880.0,1.02,1.14,0.14,,,1,2,844.061,14.63,12.513,14.4686
94,Transit,2012,Published Confirmed,2.72474,0.0417,14.572,718.2958,Mass,0.0,,6200.0,1.95,1.29,0.0,[Fe/H],3.7,1,1,,16.058,13.813,15.8558
95,Transit,2012,Published Confirmed,2.72474,0.0416,14.572,705.5826,Mass,0.39,,6200.0,1.95,1.29,0.0,,,1,1,,16.058,13.813,15.8558
96,Transit,2014,Published Confirmed,9.75598,0.092,4.88,12.2,Mass,0.077,885.0,5939.0,1.14,1.1,0.17,[Fe/H],4.36,1,1,627.158,13.82,11.988,13.7305
97,Transit,2011,Published Confirmed,3.6313,0.04809,13.227,972.5598,Mass,,1710.0,5900.0,1.74,1.12,0.05,[Fe/H],4.01,1,1,1060.97,15.675,12.364,15.0681
98,Transit,2011,Published Confirmed,3.6313,0.048,11.77,889.9,Mass,0.16,1660.0,5900.0,1.61,1.14,0.05,[Fe/H],4.3,1,1,1060.97,15.675,12.364,15.0681
99,Transit,2011,Published Confirmed,3.6313,0.0484,11.769,982.0947,Mass,0.16,,5900.0,1.61,1.14,0.05,,,1,1,1060.97,15.675,12.364,15.0681
100,Transit,2014,Published Confirmed,5.1134,0.056,3.7,5.7,Mass,0.0,1070.0,4950.0,0.86,0.91,0.3,[Fe/H],4.55,1,2,591.555,15.383,12.924,15.1801
101,Transit,2014,Published Confirmed,11.759,0.098,5.0,28.0,Mass,0.0,850.0,4950.0,0.86,0.91,0.3,[Fe/H],4.55,1,2,591.555,15.383,12.924,15.1801
102,Transit,2013,Published Confirmed,4.86069,0.0578,12.11,85.81,Mass,0.0,1330.0,6040.0,1.19,1.09,-0.01,[Fe/H],4.31,1,1,1103.48,14.79,12.846,14.711
103,Transit,2013,Published Confirmed,4.86069,0.05789,12.106,93.12419,Mass,0.22,,6040.0,1.19,1.09,0.01,,,1,1,1103.48,14.79,12.846,14.711
104,Transit,2013,Published Confirmed,4.20474,0.0525,14.123,184.3414,Mass,0.41,,5590.0,1.79,1.09,0.01,,,1,1,1045.18,15.861,13.261,15.4682
105,Transit,2013,Published Confirmed,4.20474,0.0526,14.12,165.26,Mass,0.0,1600.0,5590.0,1.79,1.09,0.01,[Fe/H],3.99,1,1,1045.18,15.861,13.261,15.4682
106,Transit,2014,Published Confirmed,3.57532,0.0467,11.287,3273.649,Mass,0.034,,5900.0,1.08,1.05,0.1,,,1,1,1010.28,15.774,12.985,15.3902
107,Transit,2014,Published Confirmed,3.57532,0.0476,11.287,3302.11,Mass,0.065,1500.0,5900.0,1.08,1.05,-0.1,[M/H],4.4,1,1,1010.28,15.774,12.985,15.3902
108,Transit,2015,Published Confirmed,5.20851,0.059,10.705,152.87623,Mass,0.071,,5150.0,1.78,1.01,0.15,,,1,1,766.183,13.783,11.032,13.4119
109,Transit,2015,Published Confirmed,5.20851,0.0603,10.705,153.82972,Mass,0.047,,5150.0,1.78,1.01,0.15,[Fe/H],3.6,1,1,766.183,13.783,11.032,13.4119
110,Transit,2015,Published Confirmed,2.85057,0.039,10.088,266.9772,Mass,0.12,,5260.0,0.9,0.97,0.2,,,1,1,806.507,15.408,13.048,15.2394
111,Transit,2015,Published Confirmed,2.85057,0.0386,10.088,270.1555,Mass,0.082,,5260.0,0.9,0.97,0.2,[Fe/H],4.3,1,1,806.507,15.408,13.048,15.2394
112,Transit,2008,Published Confirmed,4.2567994,0.05694,11.135,6747.5309,Mass,0.008,,,1.54,1.36,,,,1,1,768.771,13.448,11.618,13.2188
113,Transit,2008,Published Confirmed,4.2567994,0.05783,11.624,6979.5468,Mass,,1695.0,6740.0,1.57,1.4,-0.02,[Fe/H],4.19,1,1,768.771,13.448,11.618,13.2188
114,Transit,2008,Published Confirmed,4.2567994,0.0574,11.321,6814.2752,Mass,0.016,,6740.0,1.56,1.37,0.02,,,1,1,768.771,13.448,11.618,13.2188
115,Transit,2008,Published Confirmed,4.2568,,11.32,6883.91,Mass,0.0,,6740.0,1.56,1.37,,,4.22,1,1,768.771,13.448,11.618,13.2188
116,Transit,2020,Published Confirmed,9.06005,0.0844,11.31,921.707,Mass,0.007,,5650.0,0.91,0.98,0.02,[Fe/H],4.4,1,1,1032.23,15.571,13.562,15.413
117,Transit,2020,Published Confirmed,4.62941,0.0586,16.365,266.9772,Mass,0.02,,5700.0,2.15,1.25,0.0,[Fe/H],3.85,1,1,2005.76,15.479,13.426,15.4655
118,Transit,2008,Published Confirmed,9.20205,0.09,13.34,228.83,Mass,0.0,1074.0,6190.0,1.17,1.16,,,4.41,1,1,726.412,13.652,12.288,13.5613
119,Transit,2008,Published Confirmed,9.20205,0.09025,13.339,223.43449,Mass,0.14,,6190.0,1.17,1.16,0.05,,,1,1,726.412,13.652,12.288,13.5613
120,Transit,2008,Published Confirmed,9.20205,0.0912,13.002,232.33373,Mass,,1058.0,6190.0,1.15,1.19,0.05,[Fe/H],4.4,1,1,726.412,13.652,12.288,13.5613
121,Transit,2009,Published Confirmed,4.0378962,0.04947,15.558,148.42,Mass,0.09,1438.0,6100.0,1.19,1.0,-0.25,[M/H],4.19,1,1,882.472,14.043,12.546,13.9021
122,Transit,2009,Published Confirmed,4.0378962,0.05004,13.249,149.3801,Mass,,1348.0,6100.0,1.05,1.02,-0.25,[Fe/H],4.41,1,1,882.472,14.043,12.546,13.9021
123,Transit,2009,Published Confirmed,4.0378962,0.04963,15.558,151.92274,Mass,0.087,,6100.0,1.19,1.0,0.25,,,1,1,882.472,14.043,12.546,13.9021
124,Transit,2009,Published Confirmed,4.0379156,0.0495,14.079,145.88397,Mass,,1397.0,,1.11,0.99,,,4.34,1,1,882.472,14.043,12.546,13.9021
125,Transit,2009,Published Confirmed,8.886593,0.0855,13.068,940.74,Mass,0.1,1017.0,6090.0,1.02,1.05,-0.2,[Fe/H],4.43,1,1,645.294,13.961,12.119,13.7459
126,Transit,2009,Published Confirmed,8.886593,0.0854,13.07,937.5985,Mass,0.18,,6090.0,1.02,1.05,0.2,,,1,1,645.294,13.961,12.119,13.7459
127,Transit,2009,Published Confirmed,8.886593,0.0855,13.283,940.7768,Mass,,1025.0,6090.0,1.04,1.05,-0.2,[Fe/H],4.42,1,1,645.294,13.961,12.119,13.7459
128,Transit,2009,Published Confirmed,0.853585,0.017,,4.8,Mass,0.0,,5256.0,0.86,0.9,0.06,[M/H],4.52,1,2,159.906,11.728,9.806,11.5239
129,Transit,2009,Published Confirmed,0.854,,1.58,4.6,Mass,,,5313.0,0.84,0.88,0.03,[Fe/H],4.54,1,2,159.906,11.728,9.806,11.5239
130,Transit,2009,Published Confirmed,0.85359163,,1.681,4.07661,Mass,0.0,,5275.0,0.83,0.82,0.05,[Fe/H],4.5,1,2,159.906,11.728,9.806,11.5239
131,Transit,2009,Published Confirmed,0.853585,0.0169,1.861,6.99226,Mass,,1910.0,5250.0,0.96,0.88,0.12,[Fe/H],4.42,1,2,159.906,11.728,9.806,11.5239
132,Transit,2009,Published Confirmed,0.85359165,0.017,,4.73,Mass,0.12,,5256.0,0.86,0.9,0.06,[M/H],4.52,1,2,159.906,11.728,9.806,11.5239
133,Transit,2009,Published Confirmed,0.85359159,0.017016,1.585,5.74,Mass,0.0,1756.0,5259.0,0.82,0.91,0.138,[Fe/H],4.57,1,2,159.906,11.728,9.806,11.5239
134,Transit,2009,Published Confirmed,0.853585,0.0172,1.68,21.0,Mass,,,5275.0,0.87,0.93,0.03,[M/H],4.5,1,2,159.906,11.728,9.806,11.5239
135,Radial Velocity,2009,Published Confirmed,3.698,0.046,,8.4,Mass,0.0,,5256.0,0.86,0.9,0.06,[M/H],4.52,1,2,159.906,11.728,9.806,11.5239
136,Radial Velocity,2009,Published Confirmed,3.7,0.045,,13.56,Mass,0.12,,5256.0,0.86,0.9,0.06,[M/H],4.52,1,2,159.906,11.728,9.806,11.5239
137,Transit,2010,Published Confirmed,6.21229,0.063,6.39,69.92,Mass,0.0,,5080.0,0.77,0.88,0.3,[M/H],4.58,1,1,322.037,14.792,11.463,14.2195
138,Transit,2010,Published Confirmed,6.212445,0.0636,6.938,69.28694,Mass,,870.0,,0.8,0.89,,,4.58,1,1,322.037,14.792,11.463,14.2195
139,Transit,2010,Published Confirmed,6.212381,0.06339,6.389,69.28694,Mass,0.19,,5080.0,0.77,0.88,0.3,,,1,1,322.037,14.792,11.463,14.2195
140,Transit,2010,Published Confirmed,6.21229,0.0633,7.981,68.65128,Mass,,922.0,5080.0,0.9,0.88,0.31,[Fe/H],4.47,1,1,322.037,14.792,11.463,14.2195
141,Transit,2009,Published Confirmed,95.2738,0.407,11.77,266.97,Mass,0.11,,5625.0,0.94,0.99,-0.01,[M/H],4.54,2,1,412.98,13.637,11.688,13.5008
142,Transit,2009,Published Confirmed,95.272656,0.4021,11.949,266.9772,Mass,0.133,420.0,5625.0,0.96,0.96,-0.01,[Fe/H],4.54,2,1,412.98,13.637,11.688,13.5008
143,Transit,2009,Published Confirmed,95.272656,0.4029,11.949,268.88418,Mass,0.134,,5625.0,0.96,0.96,0.01,,,2,1,412.98,13.637,11.688,13.5008
144,Transit,2009,Published Confirmed,95.2738,0.4027,11.624,262.52758,Mass,,413.0,5625.0,0.94,0.96,-0.01,[Fe/H],4.48,2,1,412.98,13.637,11.688,13.5008
145,Transit,2017,Published Confirmed,6.71837,0.071,6.389,47.6745,Mass,,938.0,5970.0,0.79,1.08,0.0,[Fe/H],4.67,1,1,576.683,13.626,12.193,13.5867
146,Astrometry,2013,Published Confirmed,246.36,0.36,,9057.77,Mass,0.345,,,,0.07,,,,1,1,,,12.062,18.5577
147,Imaging,2004,Published Confirmed,,330.0,,3496.0,Mass,,,,0.27,0.33,,,,1,1,134.846,13.98,8.178001,12.4961
148,Imaging,2004,Published Confirmed,,,30.264,3496.13,Mass,,2200.0,4371.0,1.37,0.68,,,4.0,1,1,134.846,13.98,8.178001,12.4961
149,Eclipse Timing Variations,2009,Published Confirmed,8693.0,8.6,,1995.88832,Mass,,,,,,,,,2,1,305.684,18.6837,,18.6333
150,Transit,2019,Published Confirmed,8.1387,,5.63,413.179,Mass,,,5542.0,0.87,0.96,-0.08,[Fe/H],4.6,2,1,44.0622,8.17,6.676,8.31926
151,Transit,2018,Published Confirmed,19.49213,0.148,6.12,27.0,Mass,0.0,886.0,6025.0,1.38,1.18,0.1,[Fe/H],4.25,1,1,181.69,10.154,8.837,10.0512
152,Transit,2016,Published Confirmed,0.571,,1.712,7.72,Mass,,,5496.0,0.98,0.9,0.06,[Fe/H],4.42,1,2,244.59,12.101,10.344,11.9535
153,Transit,2016,Published Confirmed,0.571336,0.01312,1.82,9.0,Mass,,2063.0,5496.0,0.95,0.92,0.06,[Fe/H],4.42,1,2,244.59,12.101,10.344,11.9535
