,Discovery_Method,Discovery_Year,Solution_type,Planet_Orbital_Period_[day],Planet_Orbital_SemiMajorAxis_[day],Planet_Radius_[Earth_radius],Planet_Mass_[Earth_mass],Planet_Mass_Provenance,Planet_Eccentricity,Planet_Eq_Temperature_[K],Stellar_Effective_Temperature_[K],Stellar_Radius_[Solar_radius],Stellar_Mass_[Solar_mass],Stellar_Metallicity_[dex],Stellar_Metallicity_Radio,Stellar_Surface_Gravity_[log10(cm/s**2)],Number_Stars,Number_Planets,System_Distance_[pc],System_V_Magnitude,System_Ks_Magnitude,System_Gaia_Magnitude
1,Imaging,2008,Published Confirmed,,330.0,,4000.0,Mass,,1700.0,4060.0,,0.85,,,,1,1,139.135,12.618,8.916,12.0572
2,Imaging,2008,Published Confirmed,,330.0,,3000.0,Mass,,1700.0,4060.0,,0.85,,,,1,1,139.135,12.618,8.916,12.0572
3,Imaging,2008,Published Confirmed,,330.0,,3000.0,Mass,,1800.0,3993.0,1.31,0.62,,,4.0,1,1,139.135,12.618,8.916,12.0572
4,Imaging,2008,Published Confirmed,,330.0,18.647,2543.0,Mass,,1800.0,4060.0,1.35,0.85,,,,1,1,139.135,12.618,8.916,12.0572
5,Imaging,2021,Published Confirmed,,118.0,,1271.31363,Mass,,1450.0,3100.0,0.84,0.17,0.01,[Fe/H],4.5,1,1,128.484,16.186,10.386,14.3374
6,Imaging,2013,Published Confirmed,,84.0,,4131.79,Mass,,,,,0.19,,,,2,1,,15.788,9.237001,
7,Imaging,2013,Published Confirmed,,52.0,,7786.5,Mass,,,3530.0,,0.4,,,,1,1,33.8281,14.244,9.198,12.9025
8,Imaging,2015,Published Confirmed,,156.0,16.141,4417.837,Mass,,,3064.0,0.28,0.11,,,4.59,1,1,,,10.404,15.0123
9,Imaging,2010,Published Confirmed,,15.0,,2383.6,Mass,,,,,0.02,,,,1,1,,,13.161,18.9668
10,Imaging,2004,Published Confirmed,,55.0,,1589.15,Mass,,1250.0,,,0.02,,,,1,1,64.308,,11.945,17.4076
