Y_inf,Y_sup,alpha_t
38.39929400000007,55.15788599999995,
35.80705304000008,52.51474695999986,
39.59944080000021,58.62301920000003,
46.03921936000022,64.37420064000017,
49.80846184000056,68.19887816000056,
50.13795800000051,72.66994199999993,
40.274697440000196,62.63002256000007,
44.713983920000274,66.3165760800001,
41.17200428000018,61.77381572,
42.52378944000029,62.56477055999995,
49.93115160000037,69.99948840000016,
49.774120000000444,69.42452000000031,
39.784798799999955,58.97426119999991,
37.72457263999996,56.27080736000008,
42.16624556000035,60.6244344399999,
45.28354520000027,63.24653480000014,
42.93594951999993,60.87871048000007,
46.56651440000014,63.94726560000023,
50.93629124000043,68.69404876000037,
51.92456920000021,68.92213080000016,
50.60238700000045,67.31589300000009,
53.11035480000041,70.30504520000021,
52.938379080000274,69.5536609200001,
54.421040880000334,70.72273912000004,
62.569000599999804,79.20191939999971,
51.03706000000021,67.47372000000036,
39.56320656000029,55.826773439999904,
34.695221120000134,50.500658880000096,
44.462714320000245,60.31404568000006,
44.56449944000035,60.11520056000009,
44.367775799999954,59.88758420000041,
43.39655752000035,58.37080248,
45.640359920000186,60.45976007999999,
38.94467487999998,53.21248512,
40.40299743999991,54.577902559999956,
47.43734000000015,61.10952000000019,
42.46675280000007,55.94822720000011,
39.246900480000185,52.60081952000041,
37.401375560000105,50.6276044400001,
35.53193568000005,48.72020431999996,
29.718225800000262,42.8453742,
26.68836280000022,39.74899720000005,
34.95636776000009,50.051632240000146,
38.919926320000144,53.34027367999998,
36.84787232000036,51.257947679999845,
37.70152000000021,51.53705999999985,
37.7340873999999,51.30867260000003,
33.082016240000144,46.50710375999981,
30.63479607999998,43.85820391999989,
35.9978505600001,48.976469440000145,
36.46457460000011,49.49030540000022,
35.968892720000284,49.09348727999995,
36.324403560000206,48.91155643999987,
35.17361912000026,47.97190087999994,
30.99687600000006,43.49518399999998,
32.61861400000003,44.889105999999906,
33.28520256000013,45.56553744000007,
33.770463760000005,45.879436240000125,
32.816612640000045,44.92498735999985,
30.287100079999863,42.1659799200001,
33.65621480000006,45.49510520000008,
30.063104079999672,41.72525592000002,
20.874417720000228,33.48528228000003,
25.748379440000136,38.24426055999994,
29.88901440000011,42.38516559999985,
25.67734199999977,38.017278000000196,
25.32724172000021,37.60531827999998,
28.439986960000383,40.64459303999972,
20.496259400000113,32.724580599999896,
17.070002560000027,30.169277439999888,
28.277989600000154,41.02217039999999,
28.47154816000024,40.97265183999956,
18.146881720000145,32.76571827999975,
21.604809440000032,35.68619055999992,
18.83689336000016,32.832966639999796,
11.090960400000004,24.960819599999954,
15.462177799999912,31.58238220000017,
27.520406240000177,43.48957375999979,
33.08628744000034,48.72603255999969,
29.286074960000274,44.877785039999694,
27.739172399999916,43.31302760000008,
29.865577840000118,45.04922215999982,
27.224083800000066,42.00203619999996,
24.636460319999966,39.23765967999995,
25.678864840000116,42.064835159999916,
26.90780479999977,43.09143520000006,
28.528540399999933,44.68895960000011,
28.93122288000008,45.06155711999985,
30.54887279999995,46.262347200000086,
28.051175840000088,43.43942415999978,
26.705076199999915,41.92238380000003,
25.40182047999985,40.377339520000085,
25.196626360000124,39.70895363999985,
31.96062592000024,46.15259407999997,
32.302172719999945,46.62680728000008,
33.51995759999995,47.20138240000012,
32.48314943999986,45.93769056000005,
31.1814436,44.57875639999981,
34.46036640000018,47.52503359999993,
32.572069680000055,45.41709032000004,
33.653550800000225,46.31316919999997,
35.1761685600004,47.82477143999983,
35.24874160000024,47.92651839999983,
35.81169488000027,48.10942511999992,
35.51262615999986,49.22827384000005,
34.07190239999993,49.87505760000015,
34.15352876000018,49.90801124000006,
30.997345759999792,46.5887542400001,
31.006507800000126,46.537772199999964,
28.42266424000025,43.729875759999835,
28.38453340000041,43.63158659999968,
27.763877680000064,42.78348231999962,
13.683241080000084,28.11993892,
21.557976239999974,37.81182376000009,
24.37665324000009,40.52328675999993,
24.076458799999884,40.21094120000018,
27.824009480000093,43.807050519999954,
22.42045600000005,38.118004000000056,
26.54312180000003,42.01187819999998,
30.256396960000018,45.75988304000008,
31.352889800000177,46.70559020000007,
24.798137760000024,39.78550223999995,
27.962162800000172,42.78503719999988,
30.37227656000016,44.70716343999989,
30.921809240000197,44.95307075999999,
28.653316400000207,42.55032359999984,
36.56676116000002,50.34655884000001,
38.352329599999976,51.871830399999965,
28.5961712,41.95870880000001,
33.71054152000012,46.96469848000004,
38.07078480000021,51.0793752,
29.18344823999985,42.04439175999996,
28.94280976000013,41.60251024000006,
30.393052640000196,43.005847359999834,
32.531495080000035,44.986584920000006,
31.00906400000005,43.182395999999926,
29.853536920000092,41.88738307999991,
34.377869280000304,46.106030719999815,
30.031896999999915,41.68448299999994,
30.73601440000001,42.1244656,
33.721376200000236,44.93124380000006,
32.68297688000027,43.808463120000084,
30.21902475999995,42.43247524,
31.747591519999958,43.66148847999989,
31.51457624000005,43.50270376000011,
31.988356000000046,43.75774400000001,
26.668947320000186,38.62601267999992,
25.183443599999954,37.97559640000011,
26.26580527999993,39.088294720000114,
27.744803680000082,40.542216319999945,
26.922121000000033,39.47827900000014,
28.82422855999999,41.05239144,
25.764292439999952,37.817707560000045,
23.033744800000036,34.91143520000011,
26.490675559999993,38.31700444000003,
25.28058000000001,37.083840000000095,
24.767876560000047,36.466383440000136,
25.854757840000154,37.16616216000002,
20.043741000000068,31.610139000000004,
14.459147439999951,26.96011256000007,
20.813429800000026,33.0292702000001,
25.471220559999967,39.32695944000004,
27.09415456000011,41.04482543999998,
27.960135600000037,41.84602439999991,
25.559440360000004,39.069159639999846,
